observation_date,LORSGPORUSQ659S
1948-01-01,2.61151299999999997
1948-04-01,4.58442600000000056
1948-07-01,5.40122799999999970
1948-10-01,3.89367200000000002
1949-01-01,0.94321420000000000
1949-04-01,-1.03492399999999996
1949-07-01,-0.58285330000000002
1949-10-01,-1.52733199999999991
1950-01-01,3.77285599999999999
1950-04-01,7.30335800000000024
1950-07-01,10.31015999999999977
1950-10-01,13.37238999999999933
1951-01-01,10.56488000000000049
1951-04-01,9.14992100000000086
1951-07-01,7.25299799999999983
1951-10-01,5.46816299999999966
1952-01-01,5.16533200000000026
1952-04-01,3.59627399999999975
1952-07-01,2.23736399999999991
1952-10-01,5.36408400000000007
1953-01-01,6.18987700000000007
1953-04-01,6.78198900000000027
1953-07-01,5.42099400000000031
1953-10-01,0.52406149999999996
1954-01-01,-1.78192499999999998
1954-04-01,-2.42877700000000019
1954-07-01,-0.76833109999999993
1954-10-01,2.72861899999999968
1955-01-01,6.17019900000000021
1955-04-01,7.78024100000000018
1955-07-01,8.01591499999999968
1955-10-01,6.57901699999999945
1956-01-01,3.21695399999999987
1956-04-01,2.40345800000000009
1956-07-01,0.94797189999999998
1956-10-01,1.99682599999999999
1957-01-01,3.04975599999999991
1957-04-01,1.98098200000000002
1957-07-01,3.07277500000000003
1957-10-01,0.35469859999999998
1958-01-01,-2.87229000000000001
1958-04-01,-2.01954499999999992
1958-07-01,-0.72595609999999999
1958-10-01,2.65732900000000027
1959-01-01,7.41510599999999975
1959-04-01,9.11883399999999966
1959-07-01,6.72622299999999917
1959-10-01,4.58493599999999990
1960-01-01,4.92379600000000028
1960-04-01,2.05909699999999996
1960-07-01,2.48765499999999973
1960-10-01,0.88510140000000015
1961-01-01,-0.66752319999999998
1961-04-01,1.56578499999999998
1961-07-01,3.01153300000000002
1961-10-01,6.39749899999999982
1962-01-01,7.56916100000000025
1962-04-01,6.73027299999999951
1962-07-01,6.00687300000000057
1962-10-01,4.30984700000000043
1963-01-01,3.60110999999999981
1963-04-01,3.82458600000000004
1963-07-01,4.81869700000000023
1963-10-01,5.15981000000000023
1964-01-01,6.21734000000000009
1964-04-01,6.18231299999999973
1964-07-01,5.52128599999999992
1964-10-01,5.15781299999999998
1965-01-01,5.47829999999999995
1965-04-01,5.66027500000000039
1965-07-01,6.34748499999999982
1965-10-01,8.46227100000000121
1966-01-01,8.47701900000000030
1966-04-01,7.48933999999999855
1966-07-01,6.04210899999999995
1966-10-01,4.50440299999999993
1967-01-01,2.92506899999999970
1967-04-01,2.63773800000000014
1967-07-01,2.73874400000000007
1967-10-01,2.67092699999999983
1968-01-01,3.84481500000000009
1968-04-01,5.51467600000000058
1968-07-01,5.33535399999999971
1968-10-01,4.95785599999999960
1969-01-01,4.46943399999999968
1969-04-01,3.06477999999999984
1969-07-01,2.94761000000000006
1969-10-01,2.04420700000000011
1970-01-01,0.32279150000000001
1970-04-01,0.16112460000000001
1970-07-01,0.42134369999999999
1970-10-01,-0.16735249999999999
1971-01-01,2.69715900000000008
1971-04-01,3.10644099999999979
1971-07-01,3.00527699999999998
1971-10-01,4.36555300000000024
1972-01-01,3.47250599999999965
1972-04-01,5.25137799999999988
1972-07-01,5.37836400000000037
1972-10-01,6.89180599999999988
1973-01-01,7.56118500000000182
1973-04-01,6.31955400000000012
1973-07-01,4.77134899999999984
1973-10-01,4.02405500000000060
1974-01-01,0.63899840000000008
1974-04-01,-0.20826169999999999
1974-07-01,-0.62903980000000004
1974-10-01,-1.94576299999999991
1975-01-01,-2.29977199999999993
1975-04-01,-1.83484200000000008
1975-07-01,0.79861540000000009
1975-10-01,2.55479499999999993
1976-01-01,6.15430299999999963
1976-04-01,6.17398500000000006
1976-07-01,4.95825699999999969
1976-10-01,4.31151600000000013
1977-01-01,3.22684000000000015
1977-04-01,4.46530399999999972
1977-07-01,5.76999300000000037
1977-10-01,5.01327099999999959
1978-01-01,4.11411200000000044
1978-04-01,6.07793299999999981
1978-07-01,5.24703300000000006
1978-10-01,6.65956000000000081
1979-01-01,6.51044800000000023
1979-04-01,2.65669500000000003
1979-07-01,2.38945300000000005
1979-10-01,1.28408799999999990
1980-01-01,1.42055400000000009
1980-04-01,-0.77506880000000000
1980-07-01,-1.62374599999999991
1980-10-01,-0.03905153000000000
1981-01-01,1.60000100000000001
1981-04-01,2.96867100000000006
1981-07-01,4.32571900000000031
1981-10-01,1.29982500000000001
1982-01-01,-2.19051499999999999
1982-04-01,-1.01074500000000000
1982-07-01,-2.55604199999999970
